year,id_,marital,childs,age,cohort,educ_rank,sex_rank,race_rank,hhrace_rank,mobile16_rank,mobile16_flag,hompop,class_rank,class_flag,polviews,polviews_rank,polviews_flag,relig,denom,other,religion,fund,fund_rank,fund16_rank,fund_differential,religious_strength_total,religious_strength_count,religious_strength_avg,religious_strength_index,blm_total,blm_count,blm_avg,blm_index
2018,70,Married,3,33,1985,16,1,2,4,1,1,5,1,1,Extremely liberal,7,1,Protestant,Other,Christian; Central Christian,Christian; Central Christian,Moderate,2,3,-1,18,4,4.5,0.58333333,50,12,4.16666667,0.52777778
2018,71,Never married,0,35,1983,15,2,3,5,1,1,1,1,1,Moderate,4,1,Catholic,Not applicable,Not applicable,Catholic,Moderate,2,3,-1,15,4,3.75,0.45833333,61,13,4.69230769,0.61538462
2018,72,Married,0,37,1981,16,2,2,4,7,1,2,3,1,Liberal,6,1,Protestant,No denomination,Not applicable,No denomination,Moderate,2,2,0,13,4,3.25,0.375,57,13,4.38461538,0.56410256
2018,73,Married,0,28,1990,16,1,1,4,7,1,2,3,1,Slightly liberal,5,1,None,Not applicable,Not applicable,None,Liberal,1,2,-1,8,4,2,0.16666667,31,14,2.21428571,0.20238095
2018,74,Married,2,42,1976,20,1,3,5,7,1,1,7,1,Liberal,6,1,Catholic,Not applicable,Not applicable,Catholic,Moderate,2,2,0,12,4,3,0.33333333,22,4,5.5,0.75
2018,75,Never married,0,21,1997,14,2,3,5,1,1,4,5,1,Liberal,6,1,None,Not applicable,Not applicable,None,Liberal,1,2,-1,6,4,1.5,0.08333333,32,5,6.4,0.9
2018,76,Never married,2,33,1985,14,1,2,3,4,1,11,3,1,Conservative,2,1,Protestant,Am bapt ch in usa,Not applicable,Am bapt ch in usa,Moderate,2,2,0,14,4,3.5,0.41666667,63,15,4.2,0.53333333
2018,77,Married,2,37,1981,16,1,3,5,1,1,4,5,1,Moderate,4,1,Catholic,Not applicable,Not applicable,Catholic,Moderate,2,2,0,17,4,4.25,0.54166667,19,4,4.75,0.625
2018,78,Widowed,3,89 or older,1929,8,1,3,5,4,1,3,5,1,Moderate,4,1,Catholic,Not applicable,Not applicable,Catholic,Moderate,2,2,0,21,4,5.25,0.70833333,41,12,3.41666667,0.40277778
2018,79,Married,1,47,1971,14,1,1,5,1,1,2,5,1,Moderate,4,1,No answer,No answer,No answer,No answer,Na-excluded,0,0,0,0,0,1,0,4,1,4,0.5
2018,80,Married,Dk na,63,1955,0,1,1,2,4,1,2,0,0,No answer,0,0,No answer,No answer,No answer,No answer,Na-excluded,0,0,0,0,0,1,0,38,8,4.75,0.625
2018,81,Married,0,71,1947,16,1,2,3,4,1,2,5,1,Liberal,6,1,Protestant,Episcopal,Not applicable,Episcopal,Liberal,1,1,0,8,4,2,0.16666667,73,14,5.21428571,0.70238095
2018,82,Married,1,42,1976,12,1,2,3,1,1,2,3,1,No answer,0,0,No answer,No answer,No answer,No answer,Na-excluded,0,2,-2,1,1,1,0,43,7,6.14285714,0.85714286
2018,83,Divorced,1,37,1981,12,1,1,5,7,1,2,3,1,Moderate,4,1,Catholic,Not applicable,Not applicable,Catholic,Moderate,2,2,0,13,4,3.25,0.375,66,12,5.5,0.75
2018,84,Married,4,40,1978,13,1,3,5,1,1,3,3,1,Extrmly conservative,1,1,Catholic,Not applicable,Not applicable,Catholic,Moderate,2,2,0,19,4,4.75,0.625,73,15,4.86666667,0.64444444
2018,85,Separated,4,70,1948,12,2,3,4,1,1,2,3,1,Conservative,2,1,Catholic,Not applicable,Not applicable,Catholic,Moderate,2,2,0,12,4,3,0.33333333,35,5,7,1
2018,86,Never married,0,28,1990,17,2,2,4,4,1,2,5,1,Slightly liberal,5,1,None,Not applicable,Not applicable,None,Liberal,1,2,-1,8,4,2,0.16666667,73,12,6.08333333,0.84722222
2018,87,Never married,2,53,1965,13,1,1,4,1,1,2,1,1,Liberal,6,1,Protestant,No denomination,Not applicable,No denomination,Moderate,2,2,0,22,4,5.5,0.75,60,13,4.61538462,0.6025641
2018,88,Married,2,46,1972,16,2,3,5,7,1,4,5,1,Extremely liberal,7,1,None,Not applicable,Not applicable,None,Liberal,1,1,0,4,4,1,0,28,4,7,1
2018,89,Married,0,55,1963,18,2,3,5,7,1,2,5,1,Liberal,6,1,Protestant,Evangelical luth,Not applicable,Evangelical luth,Moderate,2,2,0,15,4,3.75,0.45833333,76,13,5.84615385,0.80769231
2018,90,Never married,0,28,1990,18,2,1,2,7,1,1,3,1,Moderate,4,1,Moslem/islam,Not applicable,Not applicable,Moslem/islam,Na-excluded,0,0,0,24,4,6,0.83333333,65,12,5.41666667,0.73611111
2018,91,Never married,0,42,1976,16,2,3,5,1,1,1,5,1,Moderate,4,1,None,Not applicable,Not applicable,None,Liberal,1,2,-1,4,4,1,0,45,13,3.46153846,0.41025641
2018,92,Married,0,77,1941,19,1,3,5,7,1,1,5,1,Extremely liberal,7,1,Protestant,Other,Quaker,Quaker,Liberal,1,1,0,28,4,7,1,68,14,4.85714286,0.64285714
2018,93,Never married,0,29,1989,16,2,1,2,7,1,2,5,1,Slightly liberal,5,1,Hinduism,Not applicable,Not applicable,Hinduism,Na-excluded,0,0,0,13,4,3.25,0.375,39,13,3,0.33333333
2018,94,Widowed,1,62,1956,12,1,2,3,7,1,3,5,1,Liberal,6,1,None,Not applicable,Not applicable,None,Liberal,1,3,-2,15,3,5,0.66666667,54,12,4.5,0.58333333
2018,95,Never married,2,30,1988,16,1,2,3,1,1,1,3,1,Liberal,6,1,Protestant,No denomination,Not applicable,No denomination,Moderate,2,2,0,21,4,5.25,0.70833333,90,15,6,0.83333333
2018,96,Never married,0,22,1996,14,2,2,3,1,1,3,5,1,Liberal,6,1,Protestant,Other,Jehovah's Witnesses,Jehovah's Witnesses,Fundamentalist,3,3,0,13,4,3.25,0.375,32,5,6.4,0.9
2018,97,Married,1,69,1949,13,1,2,3,1,1,2,5,1,Liberal,6,1,Protestant,Southern baptist,Not applicable,Southern baptist,Fundamentalist,3,3,0,13,4,3.25,0.375,22,4,5.5,0.75
2018,98,Separated,0,45,1973,16,2,2,3,1,1,1,3,1,Slghtly conservative,3,1,Catholic,Not applicable,Not applicable,Catholic,Moderate,2,2,0,21,4,5.25,0.70833333,62,14,4.42857143,0.57142857
2018,99,Married,1,32,1986,12,1,1,4,7,1,3,5,1,Moderate,4,1,Moslem/islam,Not applicable,Not applicable,Moslem/islam,Na-excluded,0,0,0,10,4,2.5,0.25,29,5,5.8,0.8
2018,100,Widowed,1,60,1958,4,1,3,5,7,1,1,3,1,Moderate,4,1,Catholic,Not applicable,Not applicable,Catholic,Moderate,2,1,1,21,4,5.25,0.70833333,22,4,5.5,0.75
2018,101,Divorced,1,48,1970,12,2,1,5,1,1,1,1,1,Conservative,2,1,Catholic,Not applicable,Not applicable,Catholic,Moderate,2,2,0,6,4,1.5,0.08333333,40,15,2.66666667,0.27777778
2018,102,Divorced,1,81,1937,12,1,1,4,7,1,2,0,0,Liberal,6,1,Hinduism,Not applicable,Not applicable,Hinduism,Na-excluded,0,0,0,22,4,5.5,0.75,47,13,3.61538462,0.43589744
2018,103,Married,0,50,1968,18,2,1,4,7,1,2,5,1,Liberal,6,1,None,Not applicable,Not applicable,None,Liberal,1,2,-1,4,4,1,0,29,5,5.8,0.8
2018,104,Married,2,78,1940,14,1,3,5,1,1,2,5,1,Slghtly conservative,3,1,Catholic,Not applicable,Not applicable,Catholic,Moderate,2,2,0,22,4,5.5,0.75,18,4,4.5,0.58333333
2018,105,Never married,0,56,1962,18,2,3,5,1,1,1,5,1,Extremely liberal,7,1,Jewish,Not applicable,Not applicable,Jewish,Liberal,1,1,0,11,4,2.75,0.29166667,65,13,5,0.66666667
2018,106,Never married,0,60,1958,14,2,3,5,1,1,1,3,1,Slghtly conservative,3,1,Catholic,Not applicable,Not applicable,Catholic,Moderate,2,2,0,28,4,7,1,35,14,2.5,0.25
2018,107,Never married,0,23,1995,12,2,3,5,1,1,4,5,1,Moderate,4,1,Catholic,Not applicable,Not applicable,Catholic,Moderate,2,2,0,8,4,2,0.16666667,57,13,4.38461538,0.56410256
2018,108,Never married,0,67,1951,12,1,3,5,1,1,1,3,1,Don't know,0,0,Catholic,Not applicable,Not applicable,Catholic,Moderate,2,2,0,8,4,2,0.16666667,41,12,3.41666667,0.40277778
2018,109,Married,5,54,1964,16,1,3,5,1,1,2,3,1,No answer,0,0,Catholic,Not applicable,Not applicable,Catholic,Moderate,2,2,0,17,4,4.25,0.54166667,22,4,5.5,0.75
2018,110,Married,2,62,1956,14,1,3,5,1,1,2,5,1,Slightly liberal,5,1,Catholic,Not applicable,Not applicable,Catholic,Moderate,2,2,0,25,4,6.25,0.875,53,13,4.07692308,0.51282051
2018,111,Divorced,2,55,1963,14,1,3,5,1,1,1,3,1,Moderate,4,1,Protestant,Am lutheran,Not applicable,Am lutheran,Moderate,2,2,0,16,4,4,0.5,15,4,3.75,0.45833333
2018,112,Married,1,56,1962,12,1,3,5,1,1,2,5,1,Conservative,2,1,Catholic,Not applicable,Not applicable,Catholic,Moderate,2,2,0,19,4,4.75,0.625,44,12,3.66666667,0.44444444
2018,113,Never married,0,58,1960,14,2,3,5,7,1,2,5,1,Extremely liberal,7,1,None,Not applicable,Not applicable,None,Liberal,1,1,0,8,4,2,0.16666667,77,13,5.92307692,0.82051282
2018,114,Divorced,1,74,1944,12,1,3,4,7,1,1,1,1,Don't know,0,0,Catholic,Not applicable,Not applicable,Catholic,Moderate,2,2,0,12,4,3,0.33333333,61,12,5.08333333,0.68055556
2018,115,Married,3,70,1948,16,2,3,5,7,1,2,5,1,Slightly liberal,5,1,Protestant,Evangelical luth,Not applicable,Evangelical luth,Moderate,2,3,-1,16,4,4,0.5,77,13,5.92307692,0.82051282
2018,116,Married,2,35,1983,17,2,3,5,4,1,4,5,1,Slghtly conservative,3,1,Catholic,Not applicable,Not applicable,Catholic,Moderate,2,2,0,9,4,2.25,0.20833333,68,14,4.85714286,0.64285714
2018,117,Married,2,65,1953,8,2,2,3,1,1,2,3,1,Moderate,4,1,None,Not applicable,Not applicable,None,Liberal,1,3,-2,4,4,1,0,64,13,4.92307692,0.65384615
2018,118,Married,2,42,1976,14,1,3,5,4,1,2,3,1,Moderate,4,1,None,Not applicable,Not applicable,None,Liberal,1,1,0,10,4,2.5,0.25,15,4,3.75,0.45833333
2018,119,Married,2,48,1970,13,1,3,5,4,1,4,3,1,Slghtly conservative,3,1,Catholic,Not applicable,Not applicable,Catholic,Moderate,2,2,0,21,4,5.25,0.70833333,16,5,3.2,0.36666667
2018,120,Never married,0,32,1986,13,2,3,5,4,1,2,3,1,Moderate,4,1,Catholic,Not applicable,Not applicable,Catholic,Moderate,2,2,0,12,4,3,0.33333333,55,15,3.66666667,0.44444444
2018,121,Married,3,56,1962,12,1,3,5,1,1,5,5,1,Conservative,2,1,None,Not applicable,Not applicable,None,Liberal,1,2,-1,14,4,3.5,0.41666667,13,4,3.25,0.375
2018,122,Married,2,61,1957,12,1,3,5,1,1,2,3,1,Extrmly conservative,1,1,Catholic,Not applicable,Not applicable,Catholic,Moderate,2,2,0,20,4,5,0.66666667,58,14,4.14285714,0.52380952
2018,123,Widowed,2,76,1942,16,1,3,4,7,1,1,5,1,Extremely liberal,7,1,Protestant,United methodist,Not applicable,United methodist,Liberal,1,1,0,15,4,3.75,0.45833333,22,5,4.4,0.56666667
2018,124,Married,2,59,1959,16,1,3,5,1,1,2,5,1,Slghtly conservative,3,1,Protestant,Presbyterian c in us,Not applicable,Presbyterian c in us,Moderate,2,2,0,17,4,4.25,0.54166667,21,4,5.25,0.70833333
2018,125,Never married,0,69,1949,16,2,3,5,7,1,1,5,1,Liberal,6,1,Protestant,No denomination,Not applicable,No denomination,Moderate,2,2,0,8,4,2,0.16666667,63,14,4.5,0.58333333
2018,126,Never married,0,48,1970,18,2,1,2,1,1,1,5,1,Slightly liberal,5,1,None,Not applicable,Not applicable,None,Liberal,1,1,0,4,4,1,0,49,12,4.08333333,0.51388889
2018,127,Married,2,68,1950,20,1,3,5,4,1,3,3,1,Conservative,2,1,Jewish,Not applicable,Not applicable,Jewish,Liberal,1,1,0,14,4,3.5,0.41666667,63,15,4.2,0.53333333
2018,128,Never married,0,39,1979,16,1,3,5,1,1,2,5,1,Slightly liberal,5,1,Protestant,No denomination,Not applicable,No denomination,Moderate,2,2,0,16,4,4,0.5,19,4,4.75,0.625
2018,129,Married,2,38,1980,18,2,3,4,7,1,3,5,1,Moderate,4,1,Catholic,Not applicable,Not applicable,Catholic,Moderate,2,2,0,20,4,5,0.66666667,81,15,5.4,0.73333333
2018,130,Never married,1,39,1979,18,1,3,5,4,1,3,5,1,Liberal,6,1,None,Not applicable,Not applicable,None,Liberal,1,1,0,4,4,1,0,28,4,7,1
2018,131,Married,4,52,1966,12,1,3,4,7,1,3,3,1,Moderate,4,1,Protestant,Other,Pentecostal,Pentecostal,Fundamentalist,3,2,1,26,4,6.5,0.91666667,62,13,4.76923077,0.62820513
